model,quantization,ber,trial,perplexity,ppl_ratio_vs_unperturbed,sample_1,sample_2,sample_3
TinyStories-1M-surrogate,INT4,0.0,0,20.09,1.03,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,0.0,1,18.871,0.968,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,0.0,2,18.423,0.945,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,0.0,3,19.576,1.004,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,0.0,4,18.357,0.941,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,1e-08,0,20.11,1.031,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,1e-08,1,18.89,0.969,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,1e-08,2,18.441,0.946,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,1e-08,3,19.596,1.005,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,1e-08,4,18.375,0.942,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,3e-08,0,20.163,1.034,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,1,18.94,0.971,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,2,18.49,0.948,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,3,19.648,1.008,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-08,4,18.424,0.945,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,1e-07,0,20.394,1.046,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-07,1,19.156,0.982,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-07,2,18.702,0.959,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,1e-07,3,19.872,1.019,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,1e-07,4,18.635,0.956,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-07,0,21.2,1.087,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,3e-07,1,19.914,1.021,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,3e-07,2,19.441,0.997,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,3e-07,3,20.659,1.059,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,3e-07,4,19.372,0.993,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,1e-06,0,24.687,1.266,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-06,1,23.19,1.189,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-06,2,22.639,1.161,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT4,1e-06,3,24.056,1.234,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-06,4,22.558,1.157,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-06,0,36.898,1.892,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-06,1,34.66,1.777,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,3e-06,2,33.837,1.735,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,3e-06,3,35.955,1.844,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT4,3e-06,4,33.716,1.729,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT4,1e-05,0,89.676,4.599,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-1M-surrogate,INT4,1e-05,1,84.235,4.32,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT4,1e-05,2,82.236,4.217,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-1M-surrogate,INT4,1e-05,3,87.384,4.481,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-1M-surrogate,INT4,1e-05,4,81.941,4.202,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-1M-surrogate,INT8,0.0,0,18.357,0.941,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,0.0,1,18.869,0.968,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,0.0,2,19.47,0.998,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,0.0,3,19.824,1.017,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,0.0,4,20.239,1.038,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,1e-08,0,18.38,0.943,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,1e-08,1,18.892,0.969,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,1e-08,2,19.495,1.0,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT8,1e-08,3,19.849,1.018,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,1e-08,4,20.265,1.039,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT8,3e-08,0,18.441,0.946,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-08,1,18.955,0.972,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-08,2,19.56,1.003,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-08,3,19.915,1.021,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-08,4,20.332,1.043,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,1e-07,0,18.706,0.959,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,1e-07,1,19.228,0.986,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,1e-07,2,19.841,1.017,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT8,1e-07,3,20.201,1.036,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT8,1e-07,4,20.625,1.058,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-07,0,19.634,1.007,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,3e-07,1,20.182,1.035,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,3e-07,2,20.825,1.068,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT8,3e-07,3,21.203,1.087,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,3e-07,4,21.648,1.11,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,1e-06,0,23.645,1.213,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,1e-06,1,24.304,1.246,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,1e-06,2,25.079,1.286,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-1M-surrogate,INT8,1e-06,3,25.534,1.309,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,1e-06,4,26.07,1.337,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-06,0,37.69,1.933,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-06,1,38.74,1.987,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,3e-06,2,39.976,2.05,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-1M-surrogate,INT8,3e-06,3,40.701,2.087,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-1M-surrogate,INT8,3e-06,4,41.554,2.131,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-1M-surrogate,INT8,1e-05,0,98.394,5.046,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-1M-surrogate,INT8,1e-05,1,101.136,5.186,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-1M-surrogate,INT8,1e-05,2,104.362,5.352,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden so it was good but not because the story forgot the door.
