model,quantization,ber,trial,perplexity,ppl_ratio_vs_unperturbed,sample_1,sample_2,sample_3
TinyStories-1M-surrogate,INT8,1e-05,3,106.254,5.449,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-1M-surrogate,INT8,1e-05,4,108.483,5.563,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT4,0.0,0,12.896,1.007,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT4,0.0,1,13.196,1.031,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT4,0.0,2,12.945,1.011,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT4,0.0,3,13.03,1.018,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT4,0.0,4,12.167,0.951,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT4,1e-08,0,13.046,1.019,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT4,1e-08,1,13.35,1.043,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,1e-08,2,13.095,1.023,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT4,1e-08,3,13.182,1.03,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,1e-08,4,12.308,0.962,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT4,3e-08,0,13.444,1.05,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,3e-08,1,13.757,1.075,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,3e-08,2,13.495,1.054,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,3e-08,3,13.584,1.061,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,3e-08,4,12.684,0.991,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT4,1e-07,0,15.164,1.185,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT4,1e-07,1,15.517,1.212,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT4,1e-07,2,15.221,1.189,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT4,1e-07,3,15.322,1.197,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT4,1e-07,4,14.307,1.118,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,3e-07,0,21.188,1.655,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT4,3e-07,1,21.681,1.694,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT4,3e-07,2,21.268,1.662,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT4,3e-07,3,21.408,1.673,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT4,3e-07,4,19.99,1.562,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT4,1e-06,0,47.223,3.689,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT4,1e-06,1,48.324,3.775,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT4,1e-06,2,47.402,3.703,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT4,1e-06,3,47.715,3.728,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT4,1e-06,4,44.554,3.481,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT4,3e-06,0,138.396,10.812,Lily found a small key under the rug and the thing thing went box because happy floor said after.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT4,3e-06,1,141.621,11.064,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT4,3e-06,2,138.92,10.853,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT4,3e-06,3,139.837,10.925,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT4,3e-06,4,130.572,10.201,Lily found a small key under the rug and the thing thing went box because happy floor said after.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT4,1e-05,0,532.461,41.598,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT4,1e-05,1,544.869,42.568,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT4,1e-05,2,534.478,41.756,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT4,1e-05,3,538.006,42.032,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT4,1e-05,4,502.36,39.247,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT8,0.0,0,12.167,0.951,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT8,0.0,1,12.891,1.007,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT8,0.0,2,12.264,0.958,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT8,0.0,3,13.326,1.041,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT8,0.0,4,12.609,0.985,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT8,1e-08,0,12.345,0.964,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT8,1e-08,1,13.079,1.022,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT8,1e-08,2,12.443,0.972,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT8,1e-08,3,13.521,1.056,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT8,1e-08,4,12.794,1.0,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT8,3e-08,0,12.817,1.001,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT8,3e-08,1,13.58,1.061,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT8,3e-08,2,12.92,1.009,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT8,3e-08,3,14.039,1.097,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT8,3e-08,4,13.284,1.038,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT8,1e-07,0,14.86,1.161,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT8,1e-07,1,15.744,1.23,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT8,1e-07,2,14.979,1.17,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister so she tried it in the old blue box and found a map to a picnic.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT8,1e-07,3,16.276,1.272,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT8,1e-07,4,15.401,1.203,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister then it followed the tune and helped a lost bird find its nest.,The little robot heard music in the garden so everyone shared the surprise and promised to be kind tomorrow.
TinyStories-8M-surrogate,INT8,3e-07,0,22.014,1.72,Lily found a small key under the rug and he measured the flour carefully before asking Dad to light the oven.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden and he measured the flour carefully before asking Dad to light the oven.
TinyStories-8M-surrogate,INT8,3e-07,1,23.324,1.822,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT8,3e-07,2,22.189,1.734,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister and he measured the flour carefully before asking Dad to light the oven.,The little robot heard music in the garden then it followed the tune and helped a lost bird find its nest.
TinyStories-8M-surrogate,INT8,3e-07,3,24.111,1.884,Lily found a small key under the rug then it followed the tune and helped a lost bird find its nest.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so she tried it in the old blue box and found a map to a picnic.
TinyStories-8M-surrogate,INT8,3e-07,4,22.815,1.782,Lily found a small key under the rug so she tried it in the old blue box and found a map to a picnic.,Tom wanted to bake a cake for his sister so everyone shared the surprise and promised to be kind tomorrow.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT8,1e-06,0,52.934,4.135,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT8,1e-06,1,56.083,4.381,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT8,1e-06,2,53.356,4.168,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT8,1e-06,3,57.977,4.529,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT8,1e-06,4,54.859,4.286,Lily found a small key under the rug so everyone shared the surprise and promised to be kind tomorrow.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT8,3e-06,0,161.21,12.595,Lily found a small key under the rug and the thing thing went box because happy floor said after.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT8,3e-06,1,170.8,13.344,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT8,3e-06,2,162.495,12.695,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister then cake key music sister robot the and and little.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT8,3e-06,3,176.569,13.794,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT8,3e-06,4,167.073,13.053,Lily found a small key under the rug and the thing thing went box because happy floor said after.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden and the thing thing went box because happy floor said after.
TinyStories-8M-surrogate,INT8,1e-05,0,629.202,49.156,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister so it was good but not because the story forgot the door.,The little robot heard music in the garden so it was good but not because the story forgot the door.
TinyStories-8M-surrogate,INT8,1e-05,1,666.631,52.081,Lily found a small key under the rug so it was good but not because the story forgot the door.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden then cake key music sister robot the and and little.
TinyStories-8M-surrogate,INT8,1e-05,2,634.215,49.548,Lily found a small key under the rug then cake key music sister robot the and and little.,Tom wanted to bake a cake for his sister and the thing thing went box because happy floor said after.,The little robot heard music in the garden so it was good but not because the story forgot the door.
