model,quantization,ber,trial,baseline_perplexity,perplexity,ppl_ratio_vs_unperturbed,sample_1,sample_2,sample_3
roneneldan/TinyStories-1M,INT8,1.0e-07,0,33.4191,34.0773,1.0197,"Once upon a time, Mia found a red ball with two boys playing together. They were so happy and danced around in the sunshine, but the sun was all clean and","The puppy wanted to help Sam clean the room. He jumped on the door and tried to make a fire, but it wouldn't help him. He was very sad",Lina heard a tiny bell near the tree.   Lina started to think it was a magic and didn't know what to do. She tried and
roneneldan/TinyStories-1M,INT8,1.0e-07,1,33.4191,34.175,1.0226,"Once upon a time, Mia found a red ball and some fish. They all liked it very much. But then they saw a big, dark pit on the ground.",The puppy wanted to help Sam clean the room. She took the box and walked to Sarah's house. She worked hard to make the floor clean. She showed her,"Lina heard a tiny bell near the tree and asked her to play tag. It was gentle and did not want to play with it. Her mommy said,"
roneneldan/TinyStories-1M,INT8,1.0e-07,2,33.4191,34.0535,1.019,"Once upon a time, Mia found a red ball stuck in the grass. She took it to find the right thing. It was a special pitch that it was the fastest",The puppy wanted to help Sam clean the room. He put the doll on the floor and started to work. He felt proud.  But then the car started,"Lina heard a tiny bell near the tree. She stopped shaking and turned around. She smiled and hugged it.  After a while, the tree smiled."
roneneldan/TinyStories-1M,INT8,1.0e-07,3,33.4191,34.0622,1.0192,"Once upon a time, Mia found a red ball. Mia had a shiny red ball that she could play with with them.   One day, Mia saw a","The puppy wanted to help Sam clean the room. Sam wanted to help Tim by being patient, so they got to help his house. But Sam was too quick.","Lina heard a tiny bell near the tree.  ""Look, Mina,"" Lizzy said, pointing to the bell. ""I” Jenny said"
roneneldan/TinyStories-1M,INT8,1.0e-07,4,33.4191,35.1022,1.0504,"Once upon a time, Mia found a red ball in her backyard. She ran outside and found a pretty flower. It was a blue dress with a bow and some leaves","The puppy wanted to help Sam clean the room.  ""Let's be your mom,"" said Sam. ""We can help you. I have a big sister","Lina heard a tiny bell near the tree. She asked her mommy, ""What happened? Are you able to show me?""  Her mommy smiled"
roneneldan/TinyStories-1M,INT8,1.0e-06,0,33.4191,34.0621,1.0192,"Once upon a time, Mia found a red ball with two boys playing together. They were so happy and danced around in the sunshine, but the sun was all clean and","The puppy wanted to help Sam clean the room. He jumped on the door and tried to make a fire, but it wouldn't help him. He was very sad",Lina heard a tiny bell near the tree.   Lina started to think it was a magic and didn't know what to do. She tried and
roneneldan/TinyStories-1M,INT8,1.0e-06,1,33.4191,34.0698,1.0195,"Once upon a time, Mia found a red ball and some fish. They all liked it very much. But then they saw a big, dark pit on the ground.","The puppy wanted to help Sam clean the room. He picked up the pieces of colors and started to brush the floor. After a few minutes, the puppy stopped and","Lina heard a tiny bell near the tree and asked her to help. She helped her friend, and her friend, Tom, felt better. When Sarah's friend"
roneneldan/TinyStories-1M,INT8,1.0e-06,2,33.4191,34.3083,1.0266,"Once upon a time, Mia found a red ball stuck in the grass. She took it to find the right thing. It was a special pitch that it was the best",The puppy wanted to help Sam clean the room. He put the doll on the floor and started to work. He felt proud.  But then the car started,"Lina heard a tiny bell near the tree. She stopped shaking and saw Lola's eyes open in the sky. She smiled and said, ""Hi, M"
roneneldan/TinyStories-1M,INT8,1.0e-06,3,33.4191,34.1263,1.0212,"Once upon a time, Mia found a red ball. Mia had a shiny red ball that she could play with with them.   One day, Mia saw a","The puppy wanted to help Sam clean the room. Sam wanted to help Tim by being patient, so they got to help his house. But Sam was too quick.","Lina heard a tiny bell near the tree.  ""Look, Mina,"" Lizzy said, pointing to the bell. ""I” Jenny said"
roneneldan/TinyStories-1M,INT8,1.0e-06,4,33.4191,34.5116,1.0327,"Once upon a time, Mia found a red ball in her backyard. She ran outside and found a pretty flower. It was a blue dress with pink. Mia wanted to",The puppy wanted to help Sam clean the room. So Sam took a needle and started to clean it. Sam was happy with his work and went outside to play.,"Lina heard a tiny bell near the tree. She saw a man with a big red face and a lot of smoke. He said, ""Hello, Tilly"
roneneldan/TinyStories-1M,INT8,1.0e-05,0,33.4191,35.666,1.0672,"Once upon a time, Mia found a red ball with a bow. The arrow was blue and had a shiny silver collar. Mia wanted to take the bow and have a","The puppy wanted to help Sam clean the room. So, Sam's mom made it a nice blanket. Sam was happy, and he pickeded outside in the all","Lina heard a tiny bell near the tree.   Lina said to the man, ""Do you want to go to the hospital?""  The"
roneneldan/TinyStories-1M,INT8,1.0e-05,1,33.4191,34.7464,1.0397,"Once upon a time, Mia found a red ball and some fish. They all liked it very much. But soon enough, they were having fun!  One day",The puppy wanted to help Sam clean the room. He went to tell his mom about the fun things she had told him how to polish his room. Sam was happy,"Lina heard a tiny bell near the tree and asked her mom, ""Why did you go all the way, Mama?"" Her mom said, ""Lila,"
roneneldan/TinyStories-1M,INT8,1.0e-05,2,33.4191,39.7646,1.1899,"Once upon a time, Mia found a red ball stuck in the grass. She took it to find the right place. She searched, but could not find it anywhere.",The puppy wanted to help Sam clean the room. He put the doll on and started the box. Sam was very happy. They played together and had the best time,"Lina heard a tiny bell near the tree. She stopped shaking and asked, ""What's an angel?""  ""It's called a bird,"" it replied"
roneneldan/TinyStories-1M,INT8,1.0e-05,3,33.4191,37.4892,1.1218,"Once upon a time, Mia found a red ball, there was a little one. Will was a very special with a big, orange and blue and shiny. He liked","The puppy wanted to help Sam clean the room. Sam wanted to help Tim with the cloth, so they got to work and put on the cloth. After that,","Lina heard a tiny bell near the tree.  ""Look, daddy!"" Lizzie said, holding a big smile.  Daddy came over and"
roneneldan/TinyStories-1M,INT8,1.0e-05,4,33.4191,33.6538,1.007,"Once upon a time, Mia found a red ball in her backyard. She ran outside and found a pretty flower. It was a blue dress with pink. Mia wanted to",The puppy wanted to help Sam clean the room. So Sam took a needle and started to clean it. Sam was so happy he was able to put the thread back,"Lina heard a tiny bell near the tree. She asked her mommy, ""What happened, Mina?""  ""It's an old,"" her mom"
roneneldan/TinyStories-1M,INT8,1.0e-04,0,33.4191,104.3777,3.1233,"Once upon a time, Mia found a red ball and jumped out of the corner cornerother and up the grass, and closer and down the corner corner corner corner corner bushes",The puppy wanted to help Sam clean the room. Sam was afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid afraid,"Lina heard a tiny bell near the tree of the corner corner corner corner of the the branches. She so loud and towards the trees, all over of the bushes"
roneneldan/TinyStories-1M,INT8,1.0e-04,1,33.4191,87.1475,2.6077,"Once upon a time, Mia found a red ball and some time time time time time time time time time time time time time time time time time time time time time time",The puppy wanted to help Sam clean the room filled it and thanked them and walked slowly removed carefully and at the house. Everyone was standing there!  SurSur,"Lina heard a tiny bell near the tree and she walked to play.  ""Hi there! Do you want to make it a beautiful butterfly?""  "
roneneldan/TinyStories-1M,INT8,1.0e-04,2,33.4191,67.5722,2.022,"Once upon a time, Mia found a red ball. It was so good good good good good good good good good good good good good good good good good good good good","The puppy wanted to help Sam clean the room. He asked, ""Mommy, what is more kind meant. Can I last, but Jane and the."" said",Lina heard a tiny bell near the tree and admired them. When they got them and had an amazing time. They was so much fun! They had lots of
roneneldan/TinyStories-1M,INT8,1.0e-04,3,33.4191,50.3406,1.5063,"Once upon a time, Mia found a red ball and put it on the ground. It was a very big, red ball! It was a long ball! The ball","The puppy wanted to help Sam clean the room. ""Let's keep making all the y�t that! Why Why Why Why Why Why Why hear you sister?""",Lina heard a tiny bell near the tree. It was a beautiful nest with two of firegy and they could not not not not not not not not not not
roneneldan/TinyStories-1M,INT8,1.0e-04,4,33.4191,496.2219,14.8484,"Once upon a time, Mia found a red ball in the distance. She ran towards the ko's hands. . um.      ","The puppy wanted to help Sam clean the room soon, but her mom would be careful.  So, when Sally was busy, when Suzie was left under",Lina heard a tiny bell near the tree. She saw a kenn hands. This. No one direction. No courage and half of his worries full to touch
roneneldan/TinyStories-1M,INT8,1.0e-03,0,33.4191,25045.2363,749.4286,"Once upon a time, Mia found a red ball race race race race race race race race race race race race race race race race race race race race race race race race",The puppy wanted to help Sam clean the roomaster on on on on on on on on on on on on on on on on on on on on on on on,Lina heard a tiny bell near the tree on on on on on on on on on on on on on on on on on on on on on on on on
roneneldan/TinyStories-1M,INT8,1.0e-03,1,33.4191,3784.9705,113.2577,"Once upon a time, Mia found a red ball and a a a a time happened birded and Fl Fl Fl Fl Fl Fl Fl Fl Fl Fl Fl Fl Fl Fl",The puppy wanted to help Sam clean the room friend friend friend friend friend friend friend friend little little little little little little little little little little little little little little little little,Lina heard a tiny bell near the tree and and heads exclaim exclaim exclaim exclaim exclaim exclaim exclaim exclaim appealings friends friends friends friends friends friends friends friends friends friends friends
roneneldan/TinyStories-1M,INT8,1.0e-03,2,33.4191,27530.4316,823.7931,"Once upon a time, Mia found a red ball,, blue blue,,, blue blue,,,,, blue blue,,,,,, blue,",The puppy wanted to help Sam clean the room heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard heard,"Lina heard a tiny bell near the tree,"" asking questions,,,,,, hello hello hello hello hello,,,, smile smile smile smile smile smile"
roneneldan/TinyStories-1M,INT8,1.0e-03,3,33.4191,37413.8984,1119.5361,"Once upon a time, Mia found a red balls little sky skyanes Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music Music",The puppy wanted to help Sam clean the room with two three three minutes they ever after their three hours hours hours hours hours hours hours hours hours hours hours hours hours hours,Lina heard a tiny bell near the tree was all all all all all all everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything
roneneldan/TinyStories-1M,INT8,1.0e-03,4,33.4191,17375.1348,519.9162,"Once upon a time, Mia found a red ball lived lived lived         were the soft livedOurOurOurOurOur.   ","The puppy wanted to help Sam clean the room lived lived         lived lived lived lived there lived   in time, then swimming swimming swimming",Lina heard a tiny bell near the tree lived   Once upon a cozy lived there loved           JohnJohn
roneneldan/TinyStories-1M,INT8,1.0e-02,0,33.4191,19195262.0,574379.8197,"Once upon a time, Mia found a red ball pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa pa",The puppy wanted to help Sam clean the roomstrcrazy eldest guide guide guide guide guide guide guide guide guide guide guide guide guide guide guide guide guide guide guide guide guide,Lina heard a tiny bell near the treeChat cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl cl
roneneldan/TinyStories-1M,INT8,1.0e-02,1,33.4191,30710002.0,918935.3817,"Once upon a time, Mia found a red ball and and and and and and and and and and and and and and and and and and and and and and and and",The puppy wanted to help Sam clean the roomagagagagagagagagagagagagagagagagagagagagagagagag,Lina heard a tiny bell near the tree and and and and and and and and and and and and and and and and and and and and and and and and
roneneldan/TinyStories-1M,INT8,1.0e-02,2,33.4191,68999520.0,2064672.6186,"Once upon a time, Mia found a red ball jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping jumping",The puppy wanted to help Sam clean the room tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag tag,Lina heard a tiny bell near the tree strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong strong
roneneldan/TinyStories-1M,INT8,1.0e-02,3,33.4191,27481630.0,822332.8072,"Once upon a time, Mia found a red ball branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches",The puppy wanted to help Sam clean the room Ellie branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches,Lina heard a tiny bell near the tree tree branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches branches
roneneldan/TinyStories-1M,INT8,1.0e-02,4,33.4191,36158872.0,1081981.9172,"Once upon a time, Mia found a red ball another another another another another another another another another another another another another another another another another another another another another another another another",The puppy wanted to help Sam clean the room coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming coming,Lina heard a tiny bell near the tree captain daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter daughter
roneneldan/TinyStories-1M,INT4,1.0e-07,0,33.4191,7507.9194,224.6595,"Once upon a time, Mia found a red ball appeared to a happy dragon with both the the the the the the the the the its his a happy dragon together one","The puppy wanted to help Sam clean the room with some kind, together spot. They both, together together togetherks them each the our mom them in a. together","Lina heard a tiny bell near the tree together their jokes., together their eyes gorrrrrr eyes another dragons are what, together all them them come with"
roneneldan/TinyStories-1M,INT4,1.0e-07,1,33.4191,7555.0371,226.0694,"Once upon a time, Mia found a red ball and a wide boy a happy eyes together a excited his his stories."" youe a big my stories.� lunch","The puppy wanted to help Sam clean the room hand hand hand. They and yes. No,' Jim, together their friends, together they went help. together together together","Lina heard a tiny bell near the tree and why do you are you both his eyes go all all all all his you wait in you you you you Jim,"
roneneldan/TinyStories-1M,INT4,1.0e-07,2,33.4191,7555.0371,226.0694,"Once upon a time, Mia found a red ball on a One five many many many many many many the noise. One another many many many many many many many many many","The puppy wanted to help Sam clean the room arms and little four hand.  "" ten friends are kind theggyggyggy. together together. "" a loud.","Lina heard a tiny bell near the tree and Roy them his hisks, them his::: "
roneneldan/TinyStories-1M,INT4,1.0e-07,3,33.4191,7555.0371,226.0694,"Once upon a time, Mia found a red ball past Tomeee a loud.   Mia of walking down over their Jim and youe with mee a","The puppy wanted to help Sam clean the room with someered them.  Mia and"" Jim Jim,ballsf onee,""Jeff Markia!"" Jim","Lina heard a tiny bell near the tree both his eyes go come join with her a storyes all, together, together, together their ideas them ever them his"
roneneldan/TinyStories-1M,INT4,1.0e-07,4,33.4191,7555.0371,226.0694,"Once upon a time, Mia found a red ball went out Mia and the loud, they ever ever ever them.      with their our Jim Jim,","The puppy wanted to help Sam clean the room with all first hand a. ""and as have aggyggyeeeeeeeeeee","Lina heard a tiny bell near the tree on theirothy listen. with a his dreams of what, yes, you respect her evil voice. next a loud."
roneneldan/TinyStories-1M,INT4,1.0e-06,0,33.4191,7484.0283,223.9446,"Once upon a time, Mia found a red ball appeared Mia and as do a funnyggye..""Jeff said go., then come join join all the big","The puppy wanted to help Sam clean the room with some kind, together spot. They both, together together, together together each the fair together friends are a happy mom","Lina heard a tiny bell near the tree together their jokes., together together their merrrrrr eyes another dragons are what, you are mate them!."
roneneldan/TinyStories-1M,INT4,1.0e-06,1,33.4191,7515.2407,224.8785,"Once upon a time, Mia found a red ball and a wide boy a happy eyes together a excited his his stories."" youe a big my shoulders.� Today","The puppy wanted to help Sam clean the room hand hand hand hand them and brave. "" was a soft and then!   together, they found noicks another","Lina heard a tiny bell near the tree and why do you are you both his eyes go all are you all his you wait to play, fight a an many"
roneneldan/TinyStories-1M,INT4,1.0e-06,2,33.4191,7556.0605,226.1,"Once upon a time, Mia found a red ball on a One five many many many many many many the noise. One another many many many many many many many many many","The puppy wanted to help Sam clean the room arms and little four hand.  "" ten friends are kind theggyggyggy. together together. "" a loud.","Lina heard a tiny bell near the tree and Roy them his hisks, them his::: "
roneneldan/TinyStories-1M,INT4,1.0e-06,3,33.4191,7464.0493,223.3467,"Once upon a time, Mia found a red ball past Tom heard Tom grabbed them., them with a a a a and it on a a a with a a a","The puppy wanted to help Sam clean the room with their hands. One carefully as they came to play together their's's's's's's a big.."" ","Lina heard a tiny bell near the tree both his eyes go come join with her a storyes all, together, together, together their ideas them ever them his"
roneneldan/TinyStories-1M,INT4,1.0e-06,4,33.4191,7560.2192,226.2244,"Once upon a time, Mia found a red ball went out Mia and the loud, they ever ever ever them.      with their our Jim Jim,","The puppy wanted to help Sam clean the room with all first hand a. ""and as have aggyggyeeeeeeeeeee","Lina heard a tiny bell near the tree on theirothy listen. with a his dreams of what, yes, you respect her evil voice. next a loud."
roneneldan/TinyStories-1M,INT4,1.0e-05,0,33.4191,8417.208,251.8681,"Once upon a time, Mia found a red ball in in in in tos come with Jeff Jim each a a a each each each eacheeee a big","The puppy wanted to help Sam clean the room hand hand hand hand someered their toes.  Mia and"" you both each know their directions.  "" join","Lina heard a tiny bell near the tree together their jokes., together together their merrrr voices, them dragons were what, together, together, together,"
roneneldan/TinyStories-1M,INT4,1.0e-05,1,33.4191,13428.1289,401.8099,"Once upon a time, Mia found a red ball and a wide boy a happy eyes appeared a funny him and I come join all. He me ever come load some us",The puppy wanted to help Sam clean the room hand hand hand hand them there there there there there there there there there there there there there there there there there there there,Lina heard a tiny bell near the tree and why do James and you are you both small you are you all his you you himself. The that. No many
roneneldan/TinyStories-1M,INT4,1.0e-05,2,33.4191,7572.0889,226.5796,"Once upon a time, Mia found a red ball on a One five many many many many many many the noise. One another many many many many many many many many many","The puppy wanted to help Sam clean the room arms and little four hand.  "" ten"" ten!"" Amye, together together together together together together together together,","Lina heard a tiny bell near the tree and Roy them his hisks, them his how:: "
roneneldan/TinyStories-1M,INT4,1.0e-05,3,33.4191,7505.4854,224.5866,"Once upon a time, Mia found a red ball past Tom heard Tom grabbed them., them with a a a a and it on some some a with a a a","The puppy wanted to help Sam clean the room with their hands. One carefully as while while, together together their Mark happilye, they ever ever ever ever ever.","Lina heard a tiny bell near the tree both his, together their Tomee a storyes them ever be a laugh.   together them.birde"
roneneldan/TinyStories-1M,INT4,1.0e-05,4,33.4191,7968.9639,238.4553,"Once upon a time, Mia found a red ball went four four four four four four four four four four four four four four four four four four four four four four four",The puppy wanted to help Sam clean the room with all his eyes and you four four four four four four four four four four four four four four four four four four,"Lina heard a tiny bell near the tree on theirothy listen. with a his dreams of what, sometimes too help with her her Jim, next in a loud"
roneneldan/TinyStories-1M,INT4,1.0e-04,0,33.4191,26615.5762,796.4179,"Once upon a time, Mia found a red ball popped Mia go came heard a loud. named named Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy",The puppy wanted to help Sam clean the room with some kind to to share Tomeeeeeeeee a a veryagag  ,Lina heard a tiny bell near the tree of all his Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy Amy
roneneldan/TinyStories-1M,INT4,1.0e-04,1,33.4191,8898.5039,266.2699,"Once upon a time, Mia found a red ball came to Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Louks Lou Louks, walking",The puppy wanted to help Sam clean the room room room voice. while in their walking walking walking walking walking walking walking walking walking walking walking walking walking walking walking walking walking,"Lina heard a tiny bell near the tree and sorry, Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou Lou"
roneneldan/TinyStories-1M,INT4,1.0e-04,2,33.4191,8004.2974,239.5126,"Once upon a time, Mia found a red ball in a reply his words. and he ran all the Mark Leo Joy Jim Jim, all all are both curiosity he ever","The puppy wanted to help Sam clean the room arms hand hand. One second hand the the mom of all the, later Tom and eyes to help, together, together","Lina heard a tiny bell near the tree in their his his hisks, them went come join, together, together them go on them.., it together"
roneneldan/TinyStories-1M,INT4,1.0e-04,3,33.4191,9257.9756,277.0264,"Once upon a time, Mia found a red ball appeared Mia and they found them jumped out Mia in with him Leo Jacob Lauraopleopleopleopleopleopleopleopleople","The puppy wanted to help Sam clean the room with all.  Mia. ""e voice,Everybodyeeeeee,""!""    Joy!""",Lina heard a tiny bell near the tree in his his his his his his eyes of himicks Helen Helen Helen Helen Helen Helen Helen Helen Helen Helen Helen Helen Helen
roneneldan/TinyStories-1M,INT4,1.0e-04,4,33.4191,7550.312,225.928,"Once upon a time, Mia found a red ball went mer in his Jim, in in the Leo and its the that, in the Leo with both each a some some",The puppy wanted to help Sam clean the room soldiersoggyggyggyggyggyggyggyggyggyggyggyggyggyggyggyggyggyggyggyggyggyggy,"Lina heard a tiny bell near the tree on their adventure::::: sharing his mom..., together, soldiers ever find next time to go"
roneneldan/TinyStories-1M,INT4,1.0e-03,0,33.4191,327178.2188,9790.1538,"Once upon a time, Mia found a red ball both amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing amazing",The puppy wanted to help Sam clean the room past past past past past past past touch    herself his shoulders shoulders shoulders shoulders andTTTTTT,Lina heard a tiny bell near the tree ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped ped
roneneldan/TinyStories-1M,INT4,1.0e-03,1,33.4191,201682.0938,6034.9332,"Once upon a time, Mia found a red ball berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries berries",The puppy wanted to help Sam clean the roomeheheheheheheheheheheheheheheheheheheheheheheheh,Lina heard a tiny bell near the tree competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions competitions
roneneldan/TinyStories-1M,INT4,1.0e-03,2,33.4191,47325.2891,1416.1146,"Once upon a time, Mia found a red ball, at at at at at at at at at at at at at at at at at at at at at at at",The puppy wanted to help Sam clean the room now not their friends love love love love love love love love love love love love love love love love love love love love,Lina heard a tiny bell near the tree remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remember remembere
roneneldan/TinyStories-1M,INT4,1.0e-03,3,33.4191,72212.5,2160.8146,"Once upon a time, Mia found a red ball ball ball ball ball Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo Leo",The puppy wanted to help Sam clean the room Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip Zip,Lina heard a tiny bell near the tree he Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake Jake
roneneldan/TinyStories-1M,INT4,1.0e-03,4,33.4191,109686.2266,3282.1409,"Once upon a time, Mia found a red ball sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts sorts",The puppy wanted to help Sam clean the room room room room room room room room room room room room room room room room room room room room room room room room room,Lina heard a tiny bell near the tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree
roneneldan/TinyStories-1M,INT4,1.0e-02,0,33.4191,549552384.0,16444255.8398,"Once upon a time, Mia found a red ball;;;;;;;;;;;;;;;;;;;;;;;;",The puppy wanted to help Sam clean the roomiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseiseise,Lina heard a tiny bell near the tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree tree
roneneldan/TinyStories-1M,INT4,1.0e-02,1,33.4191,1348093696.0,40339007.3058,"Once upon a time, Mia found a red ballaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltaltalt",The puppy wanted to help Sam clean the room chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber chamber,Lina heard a tiny bell near the tree sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc sc
roneneldan/TinyStories-1M,INT4,1.0e-02,2,33.4191,175066208.0,5238506.0953,"Once upon a time, Mia found a red ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball ball",The puppy wanted to help Sam clean the room steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast steadfast,Lina heard a tiny bell near the tree pin pin pin pin pin pin pin pin pin pin pin pin pin pin pin pin pin pinpillpillpillpillpillpill
roneneldan/TinyStories-1M,INT4,1.0e-02,3,33.4191,1569900800.0,46976141.2196,"Once upon a time, Mia found a red ball ball ball ball ball ball ballienneienneienneienneienneienneienneienneienneienneienneienneienneienneienneienneienneienne",The puppy wanted to help Sam clean the roomMICledledledledledledledled feet feet feet feet feet feet feet feet feet feet feet feet feet feet feet,Lina heard a tiny bell near the treeeedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseedseeds
roneneldan/TinyStories-1M,INT4,1.0e-02,4,33.4191,97697136.0,2923391.3745,"Once upon a time, Mia found a red ball fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe fe",The puppy wanted to help Sam clean the roomdddddddddddddddddddd Phillip Phillip Phillip Phillip Phillip Phillip Phillip Phillip Phillip Phillip Phillip Phillip Phillip Phillip,Lina heard a tiny bell near the tree don Strip preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring preferring
