modulation,symbol_rate,ecc,interleaving_depth,median_raw_ber,median_post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_rate,hits_real_lm_threshold,eligible_recommendation
8PSK,1200,none,1,2.0286e-04,1.5114e-07,3600.0,0.81,0.375,True,False
8PSK,1200,none,4,1.9027e-04,4.3720e-08,3600.0,0.81,0.7375,True,False
8PSK,1200,none,16,1.7681e-04,1.3812e-08,3600.0,0.81,0.9,True,False
8PSK,1200,none,64,1.9336e-04,3.8748e-09,3600.0,0.81,0.975,True,True
8PSK,1200,hamming74,1,2.0286e-04,5.0758e-08,2057.14,0.463,0.825,True,False
8PSK,1200,hamming74,4,1.9027e-04,1.4283e-08,2057.14,0.463,0.9625,True,True
8PSK,1200,hamming74,16,1.7681e-04,4.4007e-09,2057.14,0.463,0.9875,True,True
8PSK,1200,hamming74,64,1.9336e-04,1.1665e-09,2057.14,0.463,0.9875,True,True
8PSK,1200,rep3,1,2.0286e-04,3.2844e-08,1200.0,0.27,0.925,True,False
8PSK,1200,rep3,4,1.9027e-04,9.2420e-09,1200.0,0.27,1.0,True,True
8PSK,1200,rep3,16,1.7681e-04,2.8475e-09,1200.0,0.27,1.0,True,True
8PSK,1200,rep3,64,1.9336e-04,7.5482e-10,1200.0,0.27,0.9875,True,True
8PSK,1200,rep5,1,2.0286e-04,1.9408e-08,720.0,0.162,0.9375,True,False
8PSK,1200,rep5,4,1.9027e-04,5.4612e-09,720.0,0.162,1.0,True,True
8PSK,1200,rep5,16,1.7681e-04,1.6826e-09,720.0,0.162,1.0,True,True
8PSK,1200,rep5,64,1.9336e-04,4.4603e-10,720.0,0.162,0.9875,True,True
8PSK,2400,none,1,1.8223e-04,1.7234e-07,7200.0,1.62,0.1375,True,False
8PSK,2400,none,4,1.9563e-04,6.0769e-08,7200.0,1.62,0.375,True,False
8PSK,2400,none,16,1.8838e-04,1.9538e-08,7200.0,1.62,0.7875,True,False
8PSK,2400,none,64,1.8464e-04,6.6970e-09,7200.0,1.62,0.925,True,False
8PSK,2400,hamming74,1,1.8223e-04,5.2849e-08,4114.29,0.926,0.775,True,False
8PSK,2400,hamming74,4,1.9563e-04,1.5535e-08,4114.29,0.926,0.8875,True,False
8PSK,2400,hamming74,16,1.8838e-04,4.1562e-09,4114.29,0.926,0.975,True,True
8PSK,2400,hamming74,64,1.8464e-04,1.1230e-09,4114.29,0.926,1.0,True,True
8PSK,2400,rep3,1,1.8223e-04,3.4196e-08,2400.0,0.54,0.875,True,False
8PSK,2400,rep3,4,1.9563e-04,1.0052e-08,2400.0,0.54,0.925,True,False
8PSK,2400,rep3,16,1.8838e-04,2.6893e-09,2400.0,0.54,1.0,True,True
8PSK,2400,rep3,64,1.8464e-04,7.2662e-10,2400.0,0.54,1.0,True,True
8PSK,2400,rep5,1,1.8223e-04,2.0207e-08,1440.0,0.324,0.9625,True,True
8PSK,2400,rep5,4,1.9563e-04,5.9398e-09,1440.0,0.324,0.975,True,True
8PSK,2400,rep5,16,1.8838e-04,1.5891e-09,1440.0,0.324,1.0,True,True
8PSK,2400,rep5,64,1.8464e-04,4.2937e-10,1440.0,0.324,1.0,True,True
8PSK,4800,none,1,1.8464e-04,3.0278e-07,14400.0,3.24,0.0,True,False
8PSK,4800,none,4,1.9267e-04,1.6847e-07,14400.0,3.24,0.0125,True,False
8PSK,4800,none,16,1.8962e-04,8.2758e-08,14400.0,3.24,0.1125,True,False
8PSK,4800,none,64,1.8428e-04,3.8041e-08,14400.0,3.24,0.4125,True,False
8PSK,4800,hamming74,1,1.8464e-04,5.3112e-08,8228.57,1.851,0.5,True,False
8PSK,4800,hamming74,4,1.9267e-04,1.3951e-08,8228.57,1.851,0.9125,True,False
8PSK,4800,hamming74,16,1.8962e-04,4.7929e-09,8228.57,1.851,0.9625,True,True
8PSK,4800,hamming74,64,1.8428e-04,1.2719e-09,8228.57,1.851,1.0,True,True
8PSK,4800,rep3,1,1.8464e-04,3.4366e-08,4800.0,1.08,0.7875,True,False
8PSK,4800,rep3,4,1.9267e-04,9.0269e-09,4800.0,1.08,0.9625,True,True
8PSK,4800,rep3,16,1.8962e-04,3.1013e-09,4800.0,1.08,0.9875,True,True
8PSK,4800,rep3,64,1.8428e-04,8.2302e-10,4800.0,1.08,1.0,True,True
8PSK,4800,rep5,1,1.8464e-04,2.0307e-08,2880.0,0.648,0.925,True,False
8PSK,4800,rep5,4,1.9267e-04,5.3341e-09,2880.0,0.648,1.0,True,True
8PSK,4800,rep5,16,1.8962e-04,1.8326e-09,2880.0,0.648,1.0,True,True
8PSK,4800,rep5,64,1.8428e-04,4.8632e-10,2880.0,0.648,1.0,True,True
8PSK,7200,none,1,1.8695e-04,6.5174e-07,21600.0,4.86,0.0,True,False
8PSK,7200,none,4,1.9363e-04,4.7547e-07,21600.0,4.86,0.0,True,False
8PSK,7200,none,16,1.9795e-04,2.5438e-07,21600.0,4.86,0.0,True,False
8PSK,7200,none,64,1.8863e-04,1.1329e-07,21600.0,4.86,0.0,True,False
8PSK,7200,hamming74,1,1.8695e-04,5.1471e-08,12342.86,2.777,0.25,True,False
8PSK,7200,hamming74,4,1.9363e-04,1.3891e-08,12342.86,2.777,0.725,True,False
8PSK,7200,hamming74,16,1.9795e-04,4.3354e-09,12342.86,2.777,0.9,True,False
8PSK,7200,hamming74,64,1.8863e-04,1.1343e-09,12342.86,2.777,1.0,True,True
8PSK,7200,rep3,1,1.8695e-04,3.3305e-08,7200.0,1.62,0.55,True,False
8PSK,7200,rep3,4,1.9363e-04,8.9884e-09,7200.0,1.62,0.875,True,False
8PSK,7200,rep3,16,1.9795e-04,2.8052e-09,7200.0,1.62,0.9375,True,False
8PSK,7200,rep3,64,1.8863e-04,7.3394e-10,7200.0,1.62,1.0,True,True
8PSK,7200,rep5,1,1.8695e-04,1.9680e-08,4320.0,0.972,0.825,True,False
8PSK,7200,rep5,4,1.9363e-04,5.3109e-09,4320.0,0.972,0.925,True,False
8PSK,7200,rep5,16,1.9795e-04,1.6574e-09,4320.0,0.972,0.9875,True,True
8PSK,7200,rep5,64,1.8863e-04,4.3358e-10,4320.0,0.972,1.0,True,True
8PSK,9600,none,1,1.9116e-04,1.4661e-06,28800.0,6.48,0.0,True,False
8PSK,9600,none,4,1.9710e-04,1.1747e-06,28800.0,6.48,0.0,True,False
8PSK,9600,none,16,1.8939e-04,5.9892e-07,28800.0,6.48,0.0,True,False
8PSK,9600,none,64,1.8648e-04,2.7711e-07,28800.0,6.48,0.0,True,False
8PSK,9600,hamming74,1,1.9116e-04,5.4861e-08,16457.14,3.703,0.275,True,False
8PSK,9600,hamming74,4,1.9710e-04,1.4804e-08,16457.14,3.703,0.6,True,False
8PSK,9600,hamming74,16,1.8939e-04,4.2276e-09,16457.14,3.703,0.8625,True,False
8PSK,9600,hamming74,64,1.8648e-04,1.1823e-09,16457.14,3.703,0.9125,True,False
8PSK,9600,rep3,1,1.9116e-04,3.5498e-08,9600.0,2.16,0.5,True,False
8PSK,9600,rep3,4,1.9710e-04,9.5781e-09,9600.0,2.16,0.85,True,False
8PSK,9600,rep3,16,1.8939e-04,2.7352e-09,9600.0,2.16,0.9125,True,False
8PSK,9600,rep3,64,1.8648e-04,7.6492e-10,9600.0,2.16,0.975,True,True
8PSK,9600,rep5,1,1.9116e-04,2.0973e-08,5760.0,1.296,0.8125,True,False
8PSK,9600,rep5,4,1.9710e-04,5.6569e-09,5760.0,1.296,0.95,True,True
8PSK,9600,rep5,16,1.8939e-04,1.6148e-09,5760.0,1.296,1.0,True,True
8PSK,9600,rep5,64,1.8648e-04,4.5143e-10,5760.0,1.296,0.9875,True,True
8PSK,12000,none,1,2.1243e-03,1.8660e-03,36000.0,8.1,0.0,False,False
8PSK,12000,none,4,2.0979e-03,1.6357e-03,36000.0,8.1,0.0,False,False
8PSK,12000,none,16,2.0285e-03,8.7795e-04,36000.0,8.1,0.0,False,False
8PSK,12000,none,64,2.0240e-03,4.2683e-04,36000.0,8.1,0.0,False,False
8PSK,12000,hamming74,1,2.1243e-03,1.8005e-05,20571.43,4.629,0.0,False,False
8PSK,12000,hamming74,4,2.0979e-03,1.5292e-05,20571.43,4.629,0.0,False,False
8PSK,12000,hamming74,16,2.0285e-03,8.5324e-06,20571.43,4.629,0.0,True,False
8PSK,12000,hamming74,64,2.0240e-03,4.0442e-06,20571.43,4.629,0.0,True,False
8PSK,12000,rep3,1,2.1243e-03,1.0344e-05,12000.0,2.7,0.0,False,False
8PSK,12000,rep3,4,2.0979e-03,8.7827e-06,12000.0,2.7,0.0,True,False
8PSK,12000,rep3,16,2.0285e-03,4.9000e-06,12000.0,2.7,0.0,True,False
8PSK,12000,rep3,64,2.0240e-03,2.3220e-06,12000.0,2.7,0.0,True,False
8PSK,12000,rep5,1,2.1243e-03,8.3831e-08,7200.0,1.62,0.4,True,False
8PSK,12000,rep5,4,2.0979e-03,6.0228e-08,7200.0,1.62,0.425,True,False
8PSK,12000,rep5,16,2.0285e-03,3.1963e-08,7200.0,1.62,0.5875,True,False
8PSK,12000,rep5,64,2.0240e-03,1.5023e-08,7200.0,1.62,0.85,True,False
16QAM,1200,none,1,2.4669e-04,2.0519e-07,4800.0,1.08,0.1625,True,False
16QAM,1200,none,4,2.5173e-04,6.5431e-08,4800.0,1.08,0.5375,True,False
16QAM,1200,none,16,2.4719e-04,1.9452e-08,4800.0,1.08,0.875,True,False
16QAM,1200,none,64,2.5833e-04,6.2680e-09,4800.0,1.08,0.9875,True,True
16QAM,1200,hamming74,1,2.4669e-04,6.7446e-08,2742.86,0.617,0.625,True,False
16QAM,1200,hamming74,4,2.5173e-04,2.0286e-08,2742.86,0.617,0.9125,True,False
16QAM,1200,hamming74,16,2.4719e-04,5.6581e-09,2742.86,0.617,0.975,True,True
16QAM,1200,hamming74,64,2.5833e-04,1.6432e-09,2742.86,0.617,1.0,True,True
16QAM,1200,rep3,1,2.4669e-04,4.3642e-08,1600.0,0.36,0.775,True,False
16QAM,1200,rep3,4,2.5173e-04,1.3126e-08,1600.0,0.36,0.975,True,True
16QAM,1200,rep3,16,2.4719e-04,3.6611e-09,1600.0,0.36,1.0,True,True
16QAM,1200,rep3,64,2.5833e-04,1.0632e-09,1600.0,0.36,1.0,True,True
16QAM,1200,rep5,1,2.4669e-04,2.5788e-08,960.0,0.216,0.925,True,False
16QAM,1200,rep5,4,2.5173e-04,7.7563e-09,960.0,0.216,0.9875,True,True
16QAM,1200,rep5,16,2.4719e-04,2.1634e-09,960.0,0.216,1.0,True,True
16QAM,1200,rep5,64,2.5833e-04,6.2826e-10,960.0,0.216,1.0,True,True
16QAM,2400,none,1,2.5772e-04,2.4459e-07,9600.0,2.16,0.0,True,False
16QAM,2400,none,4,2.4414e-04,1.0082e-07,9600.0,2.16,0.175,True,False
16QAM,2400,none,16,2.7070e-04,3.9732e-08,9600.0,2.16,0.5625,True,False
16QAM,2400,none,64,2.6969e-04,1.6444e-08,9600.0,2.16,0.8,True,False
16QAM,2400,hamming74,1,2.5772e-04,6.4804e-08,5485.71,1.234,0.5875,True,False
16QAM,2400,hamming74,4,2.4414e-04,1.8791e-08,5485.71,1.234,0.825,True,False
16QAM,2400,hamming74,16,2.7070e-04,5.3336e-09,5485.71,1.234,0.975,True,True
16QAM,2400,hamming74,64,2.6969e-04,1.6018e-09,5485.71,1.234,0.9875,True,True
16QAM,2400,rep3,1,2.5772e-04,4.1932e-08,3200.0,0.72,0.825,True,False
16QAM,2400,rep3,4,2.4414e-04,1.2159e-08,3200.0,0.72,0.9125,True,False
16QAM,2400,rep3,16,2.7070e-04,3.4511e-09,3200.0,0.72,0.9875,True,True
16QAM,2400,rep3,64,2.6969e-04,1.0365e-09,3200.0,0.72,1.0,True,True
16QAM,2400,rep5,1,2.5772e-04,2.4778e-08,1920.0,0.432,0.975,True,True
16QAM,2400,rep5,4,2.4414e-04,7.1850e-09,1920.0,0.432,0.95,True,True
16QAM,2400,rep5,16,2.7070e-04,2.0393e-09,1920.0,0.432,1.0,True,True
16QAM,2400,rep5,64,2.6969e-04,6.1246e-10,1920.0,0.432,1.0,True,True
16QAM,4800,none,1,2.3767e-04,7.2684e-07,19200.0,4.32,0.0,True,False
16QAM,4800,none,4,2.5034e-04,4.8427e-07,19200.0,4.32,0.0,True,False
16QAM,4800,none,16,2.5482e-04,2.2889e-07,19200.0,4.32,0.0,True,False
16QAM,4800,none,64,2.4254e-04,1.2238e-07,19200.0,4.32,0.0,True,False
16QAM,4800,hamming74,1,2.3767e-04,7.1484e-08,10971.43,2.469,0.275,True,False
16QAM,4800,hamming74,4,2.5034e-04,2.0322e-08,10971.43,2.469,0.625,True,False
16QAM,4800,hamming74,16,2.5482e-04,5.8163e-09,10971.43,2.469,0.925,True,False
16QAM,4800,hamming74,64,2.4254e-04,1.7598e-09,10971.43,2.469,0.9375,True,False
16QAM,4800,rep3,1,2.3767e-04,4.6255e-08,6400.0,1.44,0.6625,True,False
16QAM,4800,rep3,4,2.5034e-04,1.3149e-08,6400.0,1.44,0.825,True,False
16QAM,4800,rep3,16,2.5482e-04,3.7635e-09,6400.0,1.44,0.9625,True,True
16QAM,4800,rep3,64,2.4254e-04,1.1387e-09,6400.0,1.44,0.9625,True,True
16QAM,4800,rep5,1,2.3767e-04,2.7332e-08,3840.0,0.864,0.9,True,False
16QAM,4800,rep5,4,2.5034e-04,7.7698e-09,3840.0,0.864,0.9375,True,False
16QAM,4800,rep5,16,2.5482e-04,2.2237e-09,3840.0,0.864,0.9875,True,True
16QAM,4800,rep5,64,2.4254e-04,6.7277e-10,3840.0,0.864,0.9875,True,True
16QAM,7200,none,1,2.6123e-04,1.7875e-06,28800.0,6.48,0.0,True,False
16QAM,7200,none,4,2.5646e-04,1.5472e-06,28800.0,6.48,0.0,True,False
16QAM,7200,none,16,2.5023e-04,7.6817e-07,28800.0,6.48,0.0,True,False
16QAM,7200,none,64,2.5013e-04,3.7196e-07,28800.0,6.48,0.0,True,False
16QAM,7200,hamming74,1,2.6123e-04,6.6433e-08,16457.14,3.703,0.1,True,False
16QAM,7200,hamming74,4,2.5646e-04,1.9023e-08,16457.14,3.703,0.6,True,False
16QAM,7200,hamming74,16,2.5023e-04,5.7122e-09,16457.14,3.703,0.8375,True,False
16QAM,7200,hamming74,64,2.5013e-04,1.5552e-09,16457.14,3.703,0.9625,True,True
16QAM,7200,rep3,1,2.6123e-04,4.2985e-08,9600.0,2.16,0.4875,True,False
16QAM,7200,rep3,4,2.5646e-04,1.2308e-08,9600.0,2.16,0.8,True,False
16QAM,7200,rep3,16,2.5023e-04,3.6957e-09,9600.0,2.16,0.9375,True,False
16QAM,7200,rep3,64,2.5013e-04,1.0060e-09,9600.0,2.16,0.975,True,True
16QAM,7200,rep5,1,2.6123e-04,2.5394e-08,5760.0,1.296,0.7375,True,False
16QAM,7200,rep5,4,2.5646e-04,7.2690e-09,5760.0,1.296,0.9125,True,False
16QAM,7200,rep5,16,2.5023e-04,2.1816e-09,5760.0,1.296,0.975,True,True
16QAM,7200,rep5,64,2.5013e-04,5.9327e-10,5760.0,1.296,0.975,True,True
16QAM,9600,none,1,2.6063e-04,4.1621e-06,38400.0,8.64,0.0,True,False
16QAM,9600,none,4,2.5769e-04,3.6394e-06,38400.0,8.64,0.0,True,False
16QAM,9600,none,16,2.4578e-04,1.8094e-06,38400.0,8.64,0.0,True,False
16QAM,9600,none,64,2.3976e-04,9.8540e-07,38400.0,8.64,0.0,True,False
16QAM,9600,hamming74,1,2.6063e-04,6.7422e-08,21942.86,4.937,0.1125,True,False
16QAM,9600,hamming74,4,2.5769e-04,1.9613e-08,21942.86,4.937,0.425,True,False
16QAM,9600,hamming74,16,2.4578e-04,5.5689e-09,21942.86,4.937,0.725,True,False
16QAM,9600,hamming74,64,2.3976e-04,1.7612e-09,21942.86,4.937,0.9375,True,False
16QAM,9600,rep3,1,2.6063e-04,4.3620e-08,12800.0,2.88,0.35,True,False
16QAM,9600,rep3,4,2.5769e-04,1.2686e-08,12800.0,2.88,0.7625,True,False
16QAM,9600,rep3,16,2.4578e-04,3.5999e-09,12800.0,2.88,0.8875,True,False
16QAM,9600,rep3,64,2.3976e-04,1.1380e-09,12800.0,2.88,0.9625,True,True
16QAM,9600,rep5,1,2.6063e-04,2.5750e-08,7680.0,1.728,0.6375,True,False
16QAM,9600,rep5,4,2.5769e-04,7.4744e-09,7680.0,1.728,0.925,True,False
16QAM,9600,rep5,16,2.4578e-04,2.1117e-09,7680.0,1.728,0.9125,True,False
16QAM,9600,rep5,64,2.3976e-04,6.6542e-10,7680.0,1.728,0.9875,True,True
16QAM,12000,none,1,1.2259e-03,1.0821e-03,48000.0,10.8,0.0,False,False
16QAM,12000,none,4,1.1814e-03,9.2769e-04,48000.0,10.8,0.0,False,False
16QAM,12000,none,16,1.2682e-03,4.5655e-04,48000.0,10.8,0.0,False,False
16QAM,12000,none,64,1.1546e-03,2.4220e-04,48000.0,10.8,0.0,False,False
16QAM,12000,hamming74,1,1.2259e-03,5.6417e-06,27428.57,6.171,0.0,True,False
16QAM,12000,hamming74,4,1.1814e-03,4.8589e-06,27428.57,6.171,0.0,True,False
16QAM,12000,hamming74,16,1.2682e-03,2.4441e-06,27428.57,6.171,0.0,True,False
16QAM,12000,hamming74,64,1.1546e-03,1.2945e-06,27428.57,6.171,0.0,True,False
16QAM,12000,rep3,1,1.2259e-03,3.2380e-06,16000.0,3.6,0.0,True,False
16QAM,12000,rep3,4,1.1814e-03,2.7856e-06,16000.0,3.6,0.0,True,False
16QAM,12000,rep3,16,1.2682e-03,1.4008e-06,16000.0,3.6,0.0,True,False
16QAM,12000,rep3,64,1.1546e-03,7.4177e-07,16000.0,3.6,0.0,True,False
16QAM,12000,rep5,1,1.2259e-03,3.8743e-08,9600.0,2.16,0.4125,True,False
16QAM,12000,rep5,4,1.1814e-03,1.6828e-08,9600.0,2.16,0.775,True,False
16QAM,12000,rep5,16,1.2682e-03,6.8774e-09,9600.0,2.16,0.8375,True,False
16QAM,12000,rep5,64,1.1546e-03,3.1934e-09,9600.0,2.16,0.9375,True,False
